measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,81,Germany,1,Male,5,1 to 4,571,Anxiety disorders,1,Number,1990,3145.102051781443,4690.002521731199,1884.8313878382178
6,Incidence,81,Germany,2,Female,5,1 to 4,571,Anxiety disorders,1,Number,1990,6165.328068356299,9259.60611191356,3658.2433313642728
6,Incidence,81,Germany,3,Both,5,1 to 4,571,Anxiety disorders,1,Number,1990,9310.430120137742,14041.167908537058,5522.121659479317
6,Incidence,81,Germany,1,Male,5,1 to 4,571,Anxiety disorders,2,Percent,1990,0.0002528275331289882,0.0003969597120247686,0.00014376491170400485
6,Incidence,81,Germany,2,Female,5,1 to 4,571,Anxiety disorders,2,Percent,1990,0.00056430384094651,0.0009034722951823112,0.0003177365908185601
6,Incidence,81,Germany,3,Both,5,1 to 4,571,Anxiety disorders,2,Percent,1990,0.00039829257445093285,0.0006294025740536861,0.00023195960047868013
6,Incidence,81,Germany,1,Male,5,1 to 4,571,Anxiety disorders,3,Rate,1990,170.3929700398339,254.09142406664992,102.11497525689
6,Incidence,81,Germany,2,Female,5,1 to 4,571,Anxiety disorders,3,Rate,1990,352.176562355809,528.92826028185,208.96658643575003
6,Incidence,81,Germany,3,Both,5,1 to 4,571,Anxiety disorders,3,Rate,1990,258.8798636107629,390.4197320847425,153.54458210861858
6,Incidence,81,Germany,1,Male,6,5 to 9,571,Anxiety disorders,1,Number,1990,18045.826527089186,26688.861476105685,10902.47671847524
6,Incidence,81,Germany,2,Female,6,5 to 9,571,Anxiety disorders,1,Number,1990,34696.41173637539,51349.90985620241,20936.45354767586
6,Incidence,81,Germany,3,Both,6,5 to 9,571,Anxiety disorders,1,Number,1990,52742.238263464584,78447.89009357688,31712.378268818182
6,Incidence,81,Germany,1,Male,6,5 to 9,571,Anxiety disorders,2,Percent,1990,0.0013590531552920612,0.002126179539889756,0.0007843921206925399
6,Incidence,81,Germany,2,Female,6,5 to 9,571,Anxiety disorders,2,Percent,1990,0.002860546252068276,0.004483443742918395,0.0016468477326731508
6,Incidence,81,Germany,3,Both,6,5 to 9,571,Anxiety disorders,2,Percent,1990,0.0020747531950672023,0.003206701995490455,0.0011904938649776097
6,Incidence,81,Germany,1,Male,6,5 to 9,571,Anxiety disorders,3,Rate,1990,818.1923923313082,1210.0650190199997,494.3150426075001
6,Incidence,81,Germany,2,Female,6,5 to 9,571,Anxiety disorders,3,Rate,1990,1656.79270421329,2452.0159795824998,999.7392166500002
6,Incidence,81,Germany,3,Both,6,5 to 9,571,Anxiety disorders,3,Rate,1990,1226.631002538266,1824.469670623624,737.5376478039882
